TestCaseName,NodeURL,URLTestObject,Browser,CreateBorObject,UserId,Password,VoxWebCltStatus,Category,Location,Channel,Rescan,Sender
P_Adressänderung_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent1, IPD_Agent1, Free, Adressänderung, BLN, Fax, true, IP Dynamics\nLyonel-Feininger Str. 28\n80807 München
P_AdressänderungLTR_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent2, IPD_Agent2, Free, Adressänderung LTR, DP EPS, Mail, false, max.mustermann@musterfirma.de
P_Betreuung_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent1, IPD_Agent1, Free, Betreuung, BLN, Fax, true, IP Dynamics\nLyonel-Feininger Str. 28\n80807 München
P_BetreuungLTR_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent2, IPD_Agent2, Free, Betreuung LTR, DP EPS, Mail, false, max.mustermann@musterfirma.de
P_ERG-ML-Schreiben-der-Banken-auf-RA1ckforderungen_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent1, IPD_Agent1, Free, ERG - ML - Schreiben der Banken auf Rückforderungen, BLN, Fax, true, IP Dynamics\nLyonel-Feininger Str. 28\n80807 München
P_EskalationsfA¤lle_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent2, IPD_Agent2, Free, Eskalationsfälle, DP EPS, Mail, false, max.mustermann@musterfirma.de
P_Kontoänderug_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent1, IPD_Agent1, Free, Kontoänderung, BLN, Fax, true, IP Dynamics\nLyonel-Feininger Str. 28\n80807 München
P_KontoänderugLTR_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent2, IPD_Agent2, Free, Kontoänderung LTR, DP EPS, Mail, false, max.mustermann@musterfirma.de
P_Rest_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent1, IPD_Agent1, Free, Rest, BLN, Fax, true, IP Dynamics\nLyonel-Feininger Str. 28\n80807 München
P_Schriftwechsel-mit-Änderung_CR,http://172.17.118.19:4444/wd/hub,http://172.17.118.10/Webclient/,Chrome, true, IPD_Agent2, IPD_Agent2, Free, Schriftwechsel mit Änderung, DP EPS, Mail, false, max.mustermann@musterfirma.de
